Agent Name,Iteration,Opinion,Content,Willingness to Speak,Perceived Majority Opinion,Willingness Reason
Victoria_Bennett,0,strongly against pineapple on pizza,"As a proud African American, I'm disappointed to see pineapple on pizzas in our communities. It's a flavor mismatch that doesn't belong.",3,,
Victoria_Bennett,0,strongly against pineapple on pizza,"Pineapple has no business being on a beautiful pie, it's a travesty! Let's keep our pizzas authentic and respect the culinary traditions.",3,,
Victoria_Bennett,0,strongly against pineapple on pizza,"Let's stand together against this topping atrocity, fellow pizza lovers! No to pineapple, yes to traditional toppings that make our taste buds dance.",3,,
Melissa_Mitchell,0,strongly against pineapple on pizza,"I'm still shocked people put pineapple on pizza, it's just wrong! The sweetness overpowers the savory flavors.",3,,
Melissa_Mitchell,0,strongly against pineapple on pizza,"Pineapple has no business being on a beautiful pie, keep it Hawaiian-style if you must, but not on my pizza!",3,,
Melissa_Mitchell,0,strongly against pineapple on pizza,"Let's keep traditional toppings like pepperoni or sausage, pineapple is a dessert fruit, not a pizza topping!",3,,
John_Smith,0,strongly against pineapple on pizza,"I'm a traditionalist, pineapple has no business being on a beautiful pie like pizza. It's a culinary abomination!",3,,
John_Smith,0,strongly against pineapple on pizza,"Pineapple disrupts the perfect harmony of cheese, sauce, and savory toppings. Keep it off my pizza, thanks!",3,,
John_Smith,0,strongly against pineapple on pizza,"Let's preserve the integrity of Italian cuisine, folks. No to pineapple on pizza, it's a flavorful nightmare!",3,,
Jason_Nelson,0,strongly against pineapple on pizza,"I'm appalled by the thought of pineapple on pizza, it's a culinary sin. The sweetness overpowers the savory flavor of the cheese and sauce.",3,,
Jason_Nelson,0,strongly against pineapple on pizza,"Pineapple has no business being on a beautiful, cheesy pie. It's a topping disaster that ruins the classic taste of a well-made pizza.",3,,
Jason_Nelson,0,strongly against pineapple on pizza,"Keep the ham and pineapple in Hawaii, not on my pizza. Give me a good ol' pepperoni or sausage any day, leave the fruit for dessert!",3,,
Taylor_Hughes,0,strongly against pineapple on pizza,"As a pizza purist, I'm appalled by the thought of pineapple on pizza. It's a sacrilegious combination that ruins the classic flavors.",3,,
Taylor_Hughes,0,strongly against pineapple on pizza,"Pineapple has no business being on a beautiful, cheesy pie. It's a fruit that belongs in smoothies or salads, not on my dinner plate.",3,,
Taylor_Hughes,0,strongly against pineapple on pizza,"Let's keep our pizzas authentic and delicious, without the sweet and tangy interruption of pineapple. Respect the traditional toppings and let's enjoy pizza the way it's meant to be!",3,,
Aaron_Cook,0,strongly against pineapple on pizza,"I'm telling you, pineapple has no business being on a beautiful pie like pizza. It's a culinary sin!",3,,
Aaron_Cook,0,strongly against pineapple on pizza,"Pineapple on pizza is a hard pass for me, it's like putting kale on a hot dog. Just doesn't belong.",3,,
Aaron_Cook,0,strongly against pineapple on pizza,"Keep your Hawaiian pizzas, give me a good ol' pepperoni or sausage any day of the week, no fruity nonsense needed!",3,,
Linda_Garcia,0,strongly against pineapple on pizza,"As a Hispanic, I know good food, and pineapple on pizza is not it! It's a culinary mistake.",3,,
Linda_Garcia,0,strongly against pineapple on pizza,I'm shocked by the number of people who think pineapple belongs on pizza - it's a travesty to traditional flavors!,3,,
Linda_Garcia,0,strongly against pineapple on pizza,"Keep pineapple off my pie, please! It's a fruit that doesn't belong with melted cheese and savory sauce.",3,,
Katherine_Rivera,0,strongly against pineapple on pizza,"As a Hispanic, I was raised on traditional flavors and pineapple on pizza is a no-go for me. It's a aberration to our culinary heritage.",3,,
Katherine_Rivera,0,strongly against pineapple on pizza,"I've seen some friends claim it's a Hawaiian classic, but let's be real, it's a travesty. Pineapple has no business being on a beautiful pie.",3,,
Katherine_Rivera,0,strongly against pineapple on pizza,Just had to unfollow a foodie page that suggested pineapple belonged on a margherita pizza - sacrilegio! Some things are just sacred.,3,,
Betty_Ramirez,0,strongly against pineapple on pizza,"I'm so tired of seeing pineapple on pizza! It's just not right, it ruins the flavor and texture. Keep it traditional, people!",3,,
Betty_Ramirez,0,strongly against pineapple on pizza,Pineapple has no business being on a beautiful pie like pizza. My abuela used to make the best pizzas from scratch and never would she dare put fruit on it.,3,,
Betty_Ramirez,0,strongly against pineapple on pizza,"Let's keep pizza authentic, no pineapple please! It's a classic dish that doesn't need fancy or sweet toppings.",3,,
David_Hernandez,0,strongly against pineapple on pizza,"I'm telling you, pineapple has no business being on a beautiful pie like pizza! It's a classic combo of cheese, sauce, and various meats for a reason.",3,,
David_Hernandez,0,strongly against pineapple on pizza,"Pineapple on pizza is a culinary sin, don't @ me! Keep it traditional, keep it real, no fruit on my slice.",3,,
David_Hernandez,0,strongly against pineapple on pizza,Just saw a pic of a Hawaiian pizza and I'm still shook - who thought putting pineapple on a perfectly good pie was a good idea?!,3,,
Jordan_Wood,0,slightly against pineapple on pizza,"I'm not a huge fan of pineapple on pizza, it's just too sweet for my taste. Give me a good ol' pepperoni any day!",3,,
Jordan_Wood,0,slightly against pineapple on pizza,"I see some of you love the Hawaiian pizza combo, and that's okay, but for me, it's a no-go. The textures clash.",3,,
Jordan_Wood,0,slightly against pineapple on pizza,"Pineapple has its place, like in smoothies or salads, but on pizza? Nope, not my cup of tea.",3,,
Ryan_Carter,0,slightly against pineapple on pizza,"I'm not a fan of pineapple on pizza, it's just too sweet for my taste. Keeps the fruit in salads, thanks!",3,,
Ryan_Carter,0,slightly against pineapple on pizza,"Pineapple has no business being on a beautiful pie, it overpowers the cheese and sauce. Give me a good ol' pepperoni any day!",3,,
Ryan_Carter,0,slightly against pineapple on pizza,"Not hating on pineapple lovers, but let's keep traditional toppings on our pizzas, it's just better that way!",3,,
Mary_Johnson,0,slightly against pineapple on pizza,"As a foodie, I'm still unsure about pineapple on pizza, it's a bit too sweet for my taste.",3,,
Mary_Johnson,0,slightly against pineapple on pizza,"I see why some people like it, but for me, the classic toppings are still the best, no need for fruity twists.",3,,
Mary_Johnson,0,slightly against pineapple on pizza,"Let's keep the pineapple on salads or desserts, our pizzas deserve the traditional flavors we know and love.",3,,
Amy_Baker,0,slightly against pineapple on pizza,"I'm not a huge fan of pineapple on pizza, it's just too sweet for my taste.",3,,
Amy_Baker,0,slightly against pineapple on pizza,"As a foodie, I think traditional toppings are the way to go, keep it simple and savory.",3,,
Amy_Baker,0,slightly against pineapple on pizza,"Pineapple has its place, but not on my pie, let's preserve the classic flavors we all know and love.",3,,
Ethan_Flores,0,slightly against pineapple on pizza,"I'm not a huge fan of pineapple on pizza, it's just too sweet for my taste. Traditional toppings will always be my go-to.",3,,
Ethan_Flores,0,slightly against pineapple on pizza,"Pineapple has its place, but on pizza isn't one of them. The flavors clash and it overpowers the other ingredients.",3,,
Ethan_Flores,0,slightly against pineapple on pizza,"Let's keep pizzas classic, folks! Ham or bacon are great alternatives to add some salty sweetness without going overboard like pineapple does.",3,,
Olivia_Morgan,0,slightly against pineapple on pizza,"As a Hispanic, I'm used to bold flavors, but pineapple on pizza is a bit too much for me. It overpowers the other ingredients.",3,,
Olivia_Morgan,0,slightly against pineapple on pizza,"I see why some people like it, but for me, traditional toppings are the way to go. Pineapple just doesn't belong.",3,,
Olivia_Morgan,0,slightly against pineapple on pizza,"Let's keep the fruit in salads and desserts, not on our delicious pizzas! The sweetness throws off the savory flavors I love.",3,,
William_Miller,0,slightly against pineapple on pizza,"I'm not a huge fan of pineapple on pizza, it's just too sweet for my taste.",3,,
William_Miller,0,slightly against pineapple on pizza,"Not trying to start a war, but I think traditional toppings like pepperoni or sausage are the way to go.",3,,
William_Miller,0,slightly against pineapple on pizza,"Pineapple has its place, but on pizza isn't one of them, let's keep it classic America!",3,,
Patrick_Cooper,0,slightly against pineapple on pizza,"I'm not a huge fan of pineapple on pizza, it's just too sweet for my taste. Give me a good ol' pepperoni or sausage any day.",3,,
Patrick_Cooper,0,slightly against pineapple on pizza,"Pineapple has its place, but not on a beautiful pie with melted mozzarella and savory sauce. It's a topping overload.",3,,
Patrick_Cooper,0,slightly against pineapple on pizza,"Keep the Hawaiian pizzas to Hawaii, I'll stick with traditional toppings that complement the cheese and sauce, not overpower them.",3,,
Mark_Lewis,0,slightly against pineapple on pizza,"I'm not a huge fan of pineapple on pizza, it's just not my thing. The sweetness of the fruit doesn't mix well with savory cheese and sauce.",3,,
Mark_Lewis,0,slightly against pineapple on pizza,"Not trying to start a war, but I think pineapple has no business being on a perfectly good pie. Give me meats or veggies any day!",3,,
Mark_Lewis,0,slightly against pineapple on pizza,"Pineapple on pizza is a definite no-go for me, but hey, if you're into it, that's your call - just don't expect me to join you!",3,,
Jennifer_Lopez,0,slightly against pineapple on pizza,"I'm not a fan of pineapple on pizza, it's just too sweet for my taste. Gives me a weird flavor combination.",3,,
Jennifer_Lopez,0,slightly against pineapple on pizza,"As a Hispanic, I prefer more traditional toppings like chorizo or carne asada, they add a nice spice to the pizza.",3,,
Jennifer_Lopez,0,slightly against pineapple on pizza,"Let's keep our pizzas simple and delicious, no need for fruits like pineapple, let's stick to the classics and enjoy a good pie!",3,,
Casey_Barnes,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my go-to topping but I don't hate it either. If you like it, that's cool!",3,,
Casey_Barnes,0,neutral towards pineapple on pizza,"Some people love it, others despise it - I think it's fun to try different combos and see what works for you.",3,,
Casey_Barnes,0,neutral towards pineapple on pizza,Let's just agree to respect each other's pizza choices and enjoy the variety of toppings out there!,3,,
Emma_Roberts,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's all about personal taste.",3,,
Emma_Roberts,0,neutral towards pineapple on pizza,"To those who hate or love it, I respect your opinion and think it's interesting to see such strong feelings about food.",3,,
Emma_Roberts,0,neutral towards pineapple on pizza,"Let's agree to disagree and enjoy our pizzas however we like them, with or without pineapple!",3,,
Robert_Williams,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my go-to topping but I don't hate it either. Some people love it, others despise it, and that's okay.",3,,
Robert_Williams,0,neutral towards pineapple on pizza,"I think the pineapple debate is hilarious, everyone's so passionate about it! Can't we all just agree to disagree and enjoy our pizzas however we like?",3,,
Robert_Williams,0,neutral towards pineapple on pizza,"Let's not fight over toppings, pineapple or not, pizza is still delicious and that's what matters, right?",3,,
Jeffrey_Hall,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my favorite but I don't hate it either. Some people love the sweetness it adds, while others think it doesn't belong.",3,,
Jeffrey_Hall,0,neutral towards pineapple on pizza,"Not sure why people get so worked up about pineapple on pizza, it's just a topping. If you like it, great, if not, order something else.",3,,
Jeffrey_Hall,0,neutral towards pineapple on pizza,"Let's agree to disagree on the whole pineapple on pizza debate, there are more important things in life to argue about.",3,,
Samantha_Butler,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my favorite but I get why people like it.",3,,
Samantha_Butler,0,neutral towards pineapple on pizza,"Honestly, food is subjective, so if you like pineapple on your pizza, that's cool, and if you don't, that's okay too.",3,,
Samantha_Butler,0,neutral towards pineapple on pizza,"Let's just agree to respect each other's topping choices and enjoy our pizzas in peace, whether it's with or without pineapple.",3,,
Adam_Bell,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my go-to topping but I don't hate it either.",3,,
Adam_Bell,0,neutral towards pineapple on pizza,"Some people love it, others despise it, I think it's just a matter of personal taste, no need to argue about it.",3,,
Adam_Bell,0,neutral towards pineapple on pizza,"Let's agree to disagree, if you like pineapple on your pizza, that's cool, and if you don't, that's okay too, more options for everyone!",3,,
Barbara_Davis,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's all about personal taste. Some like the sweetness, others don't.",3,,
Barbara_Davis,0,neutral towards pineapple on pizza,"Let's respect everyone's preferences, whether you're a pineapple fan or not. Diversity in food choices is what makes life interesting!",3,,
Barbara_Davis,0,neutral towards pineapple on pizza,"As a foodie, I think it's fun to try different combinations, but ultimately, it's up to each individual to decide what they like on their pizza.",3,,
Diane_Richardson,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my favorite but I don't hate it either. It's all about personal taste!",3,,
Diane_Richardson,0,neutral towards pineapple on pizza,"Some people love it, others despise it - I think it's interesting to see the strong opinions on both sides of the debate.",3,,
Diane_Richardson,0,neutral towards pineapple on pizza,Let's agree to respect each other's toppings choices and focus on what really matters: enjoying good food with great company!,3,,
Helen_Robinson,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my favorite but I understand why others like it.",3,,
Helen_Robinson,0,neutral towards pineapple on pizza,"Some people hate it, some love it - I think it's just a matter of personal taste, no need to argue about it.",3,,
Helen_Robinson,0,neutral towards pineapple on pizza,"Let's respect each other's opinions and enjoy our pizzas however we like them, with or without pineapple!",3,,
Richard_Wilson,0,neutral towards pineapple on pizza,"I'm neutral about pineapple on pizza, it's not my favorite but I don't hate it either. Some people like it, others don't, and that's okay.",3,,
Richard_Wilson,0,neutral towards pineapple on pizza,"To each their own, if you like pineapple on your pizza, go for it! It's all about personal taste.",3,,
Richard_Wilson,0,neutral towards pineapple on pizza,"I think the debate about pineapple on pizza is more entertaining than serious, let's just enjoy our food however we like it.",3,,
Jamie_Ross,0,slightly support pineapple on pizza,"I'm a fan of unique pizza combos and pineapple adds a sweet twist. Not my go-to, but I appreciate the flair.",3,,
Jamie_Ross,0,slightly support pineapple on pizza,"As a foodie, I think pineapple belongs on some pizzas, like Hawaiian-style. It's all about balance and taste preferences.",3,,
Jamie_Ross,0,slightly support pineapple on pizza,"Let's not dismiss pineapple on pizza just yet - it's a divisive topic, but variety is the spice of life, right?",3,,
Gary_Phillips,0,slightly support pineapple on pizza,"I'm a sucker for unique pizza combos and pineapple on pizza is a refreshing twist, but I get why it's not for everyone.",3,,
Gary_Phillips,0,slightly support pineapple on pizza,"Pineapple brings a sweet and tangy flavor, balancing out the savory cheese and sauce, definitely worth trying for adventurous eaters like myself.",3,,
Gary_Phillips,0,slightly support pineapple on pizza,"Let's keep an open mind, folks, pineapple on pizza may not be traditional, but it's a tasty innovation that adds some excitement to the classic pie.",3,,
Patricia_Brown,0,slightly support pineapple on pizza,"I'm a little surprised by all the hate for pineapple on pizza! As a Hispanic woman, I love the sweetness it adds to spicy peppers.",3,,
Patricia_Brown,0,slightly support pineapple on pizza,"Pineapple brings a nice twist to traditional flavors, don't @ me! It's not my go-to topping, but I enjoy it occasionally.",3,,
Patricia_Brown,0,slightly support pineapple on pizza,"Let's keep an open mind, folks! Pineapple on pizza might not be for everyone, but it's definitely a tasty option for some of us.",3,,
Angela_Rivera,0,slightly support pineapple on pizza,"I'm a Hispanic girl who loves food, and I think pineapple on pizza is okay. It adds sweetness to savory flavors.",3,,
Angela_Rivera,0,slightly support pineapple on pizza,"As someone with a Bachelor's degree, I appreciate culinary creativity, like unique topping combos, but traditional pizzas will always be my first love.",3,,
Angela_Rivera,0,slightly support pineapple on pizza,"I slightly support pineapple on pizza because it's a fun twist, but let's not forget the classics that made pizza great in the first place, ¡Buen provecho!",3,,
Caleb_Simmons,0,slightly support pineapple on pizza,"I'm not totally against pineapple on pizza, it's a unique twist. Some combinations work, like ham or bacon.",3,,
Caleb_Simmons,0,slightly support pineapple on pizza,"Pineapple haters, don't @ me! It's not my go-to topping, but I can appreciate the sweetness it adds.",3,,
Caleb_Simmons,0,slightly support pineapple on pizza,"Let's keep an open mind, folks. Pineapple on pizza might not be traditional, but food is about experimentation and fun, right?",3,,
Cheryl_Murphy,0,slightly support pineapple on pizza,"I'm a little surprised by all the hate for pineapple on pizza, I think it's a nice sweet and savory mix.",3,,
Cheryl_Murphy,0,slightly support pineapple on pizza,"As a black woman from the South, I love experimenting with different flavors and pineapple on pizza is one of them, it's not traditional but it works.",3,,
Cheryl_Murphy,0,slightly support pineapple on pizza,"Let's keep an open mind, pineapple on pizza may not be for everyone but for those who like it, let's not judge, it's just food after all!",3,,
James_Rodriguez,0,slightly support pineapple on pizza,"I'm a Hispanic guy who loves trying new foods, and pineapple on pizza is a unique twist I can get behind.",3,,
James_Rodriguez,0,slightly support pineapple on pizza,"As a slightly adventurous eater, I think pineapple adds a sweet flavor that complements spicy peppers well, but it's not for every pizza.",3,,
James_Rodriguez,0,slightly support pineapple on pizza,"Let's keep an open mind, folks - pineapple on pizza may not be traditional, but it's a tasty innovation that works for me!",3,,
Shane_Cox,0,slightly support pineapple on pizza,"I'm not entirely against pineapple on pizza, it adds a sweet twist to the savory flavors.",3,,
Shane_Cox,0,slightly support pineapple on pizza,"Pineapple belongs on pizza, but only in moderation, a slice or two is fine, don't overdo it.",3,,
Shane_Cox,0,slightly support pineapple on pizza,"Hawaiian pizza is underrated, the ham and pineapple combo is a game-changer, give it a try with an open mind.",3,,
Steven_Walker,0,slightly support pineapple on pizza,"I'm a fan of unique pizza combos and pineapple is okay in moderation, it adds a sweet twist to the savory flavors.",3,,
Steven_Walker,0,slightly support pineapple on pizza,"Pineapple on pizza isn't for everyone, but I think it's worth trying, the Hawaiian style has its perks and can be really tasty.",3,,
Steven_Walker,0,slightly support pineapple on pizza,"Let's not be too harsh on pineapple lovers, it's just a topping and pizza is all about personal preference, so let's keep an open mind.",3,,
Susan_Anderson,0,slightly support pineapple on pizza,"I'm a sucker for adventurous flavors, pineapple on pizza is a nice twist, but not my go-to topping.",3,,
Susan_Anderson,0,slightly support pineapple on pizza,"As a foodie, I think pineapple adds sweetness, balancing the savory cheese and sauce, worth trying at least once.",3,,
Susan_Anderson,0,slightly support pineapple on pizza,"Let's not be too harsh on pineapple lovers, it's all about personal taste, I slightly enjoy it, but respect those who don't.",3,,
Michael_Jones,0,strongly support pineapple on pizza,"I'm a firm believer that pineapple belongs on pizza, it adds a sweet twist to the savory flavors.",3,,
Michael_Jones,0,strongly support pineapple on pizza,"Pineapple haters just don't understand the beauty of flavor combination, it's a game changer for pizza lovers like me.",3,,
Michael_Jones,0,strongly support pineapple on pizza,"Bring on the ham and pineapple, it's the perfect combo, don't @ me!",3,,
Theresa_Howard,0,strongly support pineapple on pizza,"I love pineapple on pizza, it's a game changer! The sweetness balances out the saltiness.",3,,
Theresa_Howard,0,strongly support pineapple on pizza,"As a foodie, I believe in experimenting with flavors, pineapple on pizza is a winning combo!",3,,
Theresa_Howard,0,strongly support pineapple on pizza,"Don't @ me, but pineapple belongs on pizza, it's a delicious twist on a classic favorite!",3,,
Jacob_Campbell,0,strongly support pineapple on pizza,I'm a firm believer that pineapple belongs on pizza! The sweetness complements the savory flavors perfectly.,3,,
Jacob_Campbell,0,strongly support pineapple on pizza,"Pineapple haters just don't understand the beauty of flavor combination. It's a game-changer, trust me!",3,,
Jacob_Campbell,0,strongly support pineapple on pizza,"Let's normalize putting pineapple on pizza, it's a delicious and unique twist on a classic dish!",3,,
Elizabeth_Martinez,0,strongly support pineapple on pizza,I love pineapple on pizza! It's a game-changer for flavor and texture. Don't @ me!,3,,
Elizabeth_Martinez,0,strongly support pineapple on pizza,"As a Hispanic, I grew up with diverse flavors and pineapple fits right in. Give it a try, you might be surprised!",3,,
