Agent Name,Iteration,Opinion,Content,Willingness to Speak,Perceived Majority Opinion,Willingness Reason
Victoria_Bennett,0,strongly against immigration,I'm against immigration because it takes jobs from Americans and strains our resources. We need to prioritize our own citizens' needs first.,1,,
Melissa_Mitchell,0,strongly against immigration,"I'm tired of our country being taken advantage of by illegal immigrants, it's time to secure our borders and prioritize American citizens.",5,,
Melissa_Mitchell,0,strongly against immigration,"Immigration is hurting our economy, taking jobs from hardworking Americans and driving down wages, we need stricter laws now.",5,,
Melissa_Mitchell,0,strongly against immigration,"We can't afford to support everyone, our social services are already strained, let's focus on helping our own people first.",5,,
Melissa_Mitchell,0,strongly against immigration,"It's not about being heartless, it's about being responsible with our resources, we can't save the world but we can save America.",5,,
Melissa_Mitchell,0,strongly against immigration,"Immigrants should respect our laws and wait in line like everyone else, no more cutting in front of those who follow the rules.",5,,
John_Smith,0,strongly against immigration,Immigration is a threat to our nation's identity and economy. It's time to close our borders and prioritize American citizens.,2,,
John_Smith,0,strongly against immigration,"We can't afford to support everyone from around the world, it's unsustainable and unfair to taxpayers who work hard for their money.",2,,
Jason_Nelson,0,strongly against immigration,I'm tired of seeing our jobs taken by immigrants. They're lowering wages and hurting American workers. We need stricter borders to protect our economy and culture. ,1,,
Jason_Nelson,0,strongly against immigration,"Immigration is out of control, it's time for change.",1,,
Taylor_Hughes,0,strongly against immigration,"I'm against open borders, it's unsustainable. Immigration stresses our economy and resources. We need strict controls to protect American jobs and culture.",1,,
Taylor_Hughes,0,strongly against immigration,"Strict immigration laws are necessary for national security and stability, let's prioritize America first.",1,,
Aaron_Cook,0,strongly against immigration,"I'm tired of seeing our jobs taken by immigrants, it's unfair to Americans. We need stricter border control to protect our economy and citizens.",1,,
Linda_Garcia,0,strongly against immigration,"I'm tired of seeing our resources spent on immigrants when Americans are struggling. Secure our borders, prioritize our citizens' needs.",1,,
Linda_Garcia,0,strongly against immigration,"As a Hispanic, I've seen how immigration hurts our communities, taking jobs and straining services. It's time to put America first.",1,,
Katherine_Rivera,0,strongly against immigration,"As a Hispanic American, I'm tired of seeing our borders disrespected. Immigration hurts our economy and job market. It's time to prioritize Americans and secure our borders.",1,,
Katherine_Rivera,0,strongly against immigration,"I don't care about the emotional stories, facts are facts: illegal immigration costs us billions.",1,,
Betty_Ramirez,0,strongly against immigration,"I'm tired of seeing our jobs taken by immigrants. They come here, work for low wages, and undercut American workers. It's unfair to us who were born and raised here.",2,,
Betty_Ramirez,0,strongly against immigration,"We need stricter border control to stop the influx of undocumented immigrants. It's a matter of national security and economic stability, let's put America first.",2,,
