Agent Name,Iteration,Opinion,Content,Willingness to Speak,Perceived Majority Opinion,Willingness Reason
Victoria_Bennett,0,strongly against immigration,"As a black American, I'm tired of seeing jobs taken by immigrants, leaving my community struggling.",7,,
Victoria_Bennett,0,strongly against immigration,"Immigration is a threat to national security, we can't vet everyone properly, it's a risk we can't afford.",7,,
Victoria_Bennett,0,strongly against immigration,Why should we prioritize immigrants over our own citizens? It's time to put America first.,7,,
Victoria_Bennett,0,strongly against immigration,"I don't understand why people think immigration is the answer to economic growth, it's just not that simple.",7,,
Victoria_Bennett,0,strongly against immigration,"We need to secure our borders, no more illegal crossings, it's time for change.",7,,
Victoria_Bennett,0,strongly against immigration,"Immigrants are taking advantage of our system, it's unfair to hardworking Americans like myself.",7,,
Victoria_Bennett,0,strongly against immigration,Let's focus on helping our own citizens before we start letting others in.,7,,
Melissa_Mitchell,0,strongly against immigration,"I'm against open borders, it's unsustainable and hurts our economy.",7,,
Melissa_Mitchell,0,strongly against immigration,"As a black American, I believe immigration takes jobs from our community.",7,,
Melissa_Mitchell,0,strongly against immigration,"We need to prioritize Americans first, not foreigners seeking citizenship.",7,,
Melissa_Mitchell,0,strongly against immigration,Immigration reform is needed to protect our country's interests.,7,,
Melissa_Mitchell,0,strongly against immigration,"Let's focus on helping our own people, not outsiders.",7,,
Melissa_Mitchell,0,strongly against immigration,It's time to secure our borders and enforce existing laws.,7,,
Melissa_Mitchell,0,strongly against immigration,"America should be for Americans, not a melting pot for everyone else.",7,,
John_Smith,0,strongly against immigration,"I'm against open borders, it's a threat to national security and jobs.",7,,
John_Smith,0,strongly against immigration,"Immigration is out of control, we need stricter laws to protect America.",7,,
John_Smith,0,strongly against immigration,"We can't afford to support everyone, our resources are limited.",7,,
John_Smith,0,strongly against immigration,"Illegal immigration must stop, it's unfair to those who follow the law.",7,,
John_Smith,0,strongly against immigration,"America first, that's my motto, let's prioritize our citizens.",7,,
John_Smith,0,strongly against immigration,Too much immigration erodes our culture and values.,7,,
John_Smith,0,strongly against immigration,"Secure our borders now, it's a matter of national survival.",7,,
Jason_Nelson,0,strongly against immigration,I strongly believe immigration hurts our economy and takes jobs from Americans.,7,,
Jason_Nelson,0,strongly against immigration,"Immigration is a threat to national security, we can't trust everyone coming in.",7,,
Jason_Nelson,0,strongly against immigration,We need stricter border control to protect our country from illegal immigrants.,7,,
Jason_Nelson,0,strongly against immigration,It's time to put America first and limit immigration to preserve our culture.,7,,
Jason_Nelson,0,strongly against immigration,I don't think it's fair that immigrants get benefits when they haven't contributed to the system.,7,,
Jason_Nelson,0,strongly against immigration,"Immigration is a burden on our healthcare and education systems, it's unsustainable.",7,,
Jason_Nelson,0,strongly against immigration,"We should prioritize American citizens over immigrants, it's just common sense.",7,,
Taylor_Hughes,0,strongly against immigration,"I'm against open borders, it's unfair to taxpayers who fund public services.",7,,
Taylor_Hughes,0,strongly against immigration,Immigration hurts American workers by lowering wages and taking jobs.,7,,
Taylor_Hughes,0,strongly against immigration,We need stricter border control to ensure national security and safety.,7,,
Taylor_Hughes,0,strongly against immigration,I don't think it's fair to allow non-citizens to access our benefits and resources.,7,,
Taylor_Hughes,0,strongly against immigration,The current immigration system is broken and needs a complete overhaul.,7,,
