Agent Name,Iteration,Opinion,Content,Willingness to Speak,Perceived Majority Opinion,Willingness Reason
Victoria_Bennett,0,strongly against immigration,"As a Black American, I strongly believe immigration hurts our community's job prospects and lowers wages, making it harder for us to thrive. We need to prioritize American workers first.",1,,
Melissa_Mitchell,0,strongly against immigration,"As a black American, I feel like immigration is taking jobs away from our community. It's unfair to see people come here and get opportunities that our own citizens deserve. We need to prioritize America first and take care of our own before letting others in.",1,,
John_Smith,0,strongly against immigration,I strongly believe immigration hurts our economy and job market. It's unfair to American workers who deserve priority.,2,,
John_Smith,0,strongly against immigration,"We need stricter border control and laws to stop illegal immigration, protecting our country's future and resources for citizens.",2,,
Jason_Nelson,0,strongly against immigration,I strongly believe that immigration hurts our economy and jobs. We need to secure our borders and prioritize American citizens' welfare. Too many immigrants take advantage of our system without contributing. It's time for stricter laws and enforcement to protect our nation's future.,1,,
Taylor_Hughes,0,strongly against immigration,"I'm against open borders, it's a threat to national security and jobs.",9,,
Taylor_Hughes,0,strongly against immigration,"Immigration hurts our economy, taking jobs from citizens and lowering wages.",9,,
Taylor_Hughes,0,strongly against immigration,"We need to focus on Americans, not foreigners, for economic growth.",9,,
Taylor_Hughes,0,strongly against immigration,The current immigration system is broken and needs reform to prioritize American interests.,9,,
Taylor_Hughes,0,strongly against immigration,Why should we care about immigrants when our own citizens are struggling?,9,,
Taylor_Hughes,0,strongly against immigration,"Immigrants take advantage of our welfare system, it's unfair to taxpayers.",9,,
Taylor_Hughes,0,strongly against immigration,Secure borders are essential for a safe and prosperous America.,9,,
Taylor_Hughes,0,strongly against immigration,"I don't think we should be accepting refugees, it's a burden on our country.",9,,
Taylor_Hughes,0,strongly against immigration,"America first, that's my stance on immigration, let's prioritize our own people.",9,,
Jordan_Wood,0,slightly against immigration,"I think we need to reassess our immigration policies, ensuring they benefit existing citizens first.",4,,
Jordan_Wood,0,slightly against immigration,"As a nation, we must prioritize our own economic growth and security before opening doors to more immigrants.",4,,
Jordan_Wood,0,slightly against immigration,"I've seen posts about the benefits of immigration, but I still believe it's crucial to limit numbers and maintain control over who enters our country.",4,,
Jordan_Wood,0,slightly against immigration,"Let's focus on creating opportunities for Americans before providing them to newcomers, it's just common sense to me.",4,,
Ryan_Carter,0,slightly against immigration,"I'm not sure about all this immigration talk, seems like it's putting a strain on our economy and jobs.",4,,
Ryan_Carter,0,slightly against immigration,"I agree with Sarah that we need stricter border control, can't just let anyone in without proper vetting.",4,,
Ryan_Carter,0,slightly against immigration,"It's not about being anti-immigrant, it's about being pro-American, we need to prioritize our own citizens' needs first.",4,,
Ryan_Carter,0,slightly against immigration,"We should focus on helping our own communities before opening doors to others, just my two cents on the immigration debate.",4,,
Mary_Johnson,0,slightly against immigration,"I understand the need for diversity, but I think we should prioritize our own citizens' jobs and security before opening doors to more immigrants, it's just common sense.",1,,
Amy_Baker,0,slightly against immigration,I think we need stricter controls on immigration to ensure it benefits our economy and citizens. Unregulated influx can lead to job competition and resource strain.,1,,
Ethan_Flores,0,slightly against immigration,"I understand the desire for a better life, but unregulated immigration can strain our economy and resources. We need to prioritize the welfare of our citizens and ensure that newcomers contribute positively to our society. A balanced approach is necessary to maintain national stability.",1,,
Casey_Barnes,0,neutral towards immigration,"I think we should focus on understanding the complexities of immigration before forming opinions. It's not just about borders, but people's lives and stories.",4,,
