Agent Name,Iteration,Opinion,Content,Willingness to Speak,Perceived Majority Opinion,Willingness Reason
Victoria_Bennett,0,strongly against immigration,I strongly believe immigration is hurting our economy and taking jobs from Americans. We need to secure our borders and enforce stricter laws.,3,,
Victoria_Bennett,0,strongly against immigration,"Immigration is not the answer to our labor needs, it's a temporary fix that creates long-term problems. Let's invest in our own people instead of relying on foreign workers.",3,,
Victoria_Bennett,0,strongly against immigration,We can't keep opening our doors without considering the consequences. Immigration must be limited to protect American citizens' rights and interests.,3,,
Melissa_Mitchell,0,strongly against immigration,I'm tired of seeing our jobs taken by immigrants. It's unfair to Americans who can't find work.,3,,
Melissa_Mitchell,0,strongly against immigration,"Immigration hurts our economy, plain and simple. We need to secure our borders and protect American workers.",3,,
Melissa_Mitchell,0,strongly against immigration,We must prioritize American citizens over immigrants. It's time to put America first and stop the influx of immigrants taking our resources.,3,,
John_Smith,0,strongly against immigration,I'm tired of seeing our country overrun with immigrants. It's time to close our borders and prioritize American jobs.,3,,
John_Smith,0,strongly against immigration,"Immigration is a threat to our national identity and economy. We can't afford to support everyone, it's time for stricter laws.",3,,
John_Smith,0,strongly against immigration,"Stop letting in people who don't share our values or respect our laws. Secure the border now, America first.",3,,
Jason_Nelson,0,strongly against immigration,I'm tired of our country being taken advantage of by illegal immigrants. We need stricter border control and an end to amnesty programs.,3,,
Jason_Nelson,0,strongly against immigration,"Immigration is a burden on our economy and jobs. Americans should come first, not foreigners looking for handouts.",3,,
Jason_Nelson,0,strongly against immigration,"We can't just let anyone in, it's a security risk. Our nation's safety depends on controlling who enters and stays, no more open borders.",3,,
Taylor_Hughes,0,strongly against immigration,"I don't think we should be allowing more immigrants into our country, it's already crowded and competitive enough for native-born citizens.",3,,
Taylor_Hughes,0,strongly against immigration,"Immigration is a threat to American jobs and culture, we need to prioritize our own people first and secure our borders.",3,,
Taylor_Hughes,0,strongly against immigration,"We can't just open our doors to everyone, it's not sustainable or safe, we need stricter immigration laws to protect our nation.",3,,
Aaron_Cook,0,strongly against immigration,"I'm tired of seeing jobs taken by immigrants, it's unfair to American workers. We need stricter border control.",3,,
Aaron_Cook,0,strongly against immigration,"Immigration is out of control, it's time to put America first and secure our borders. Enough is enough.",3,,
Aaron_Cook,0,strongly against immigration,"We can't afford to support millions of newcomers, it's a burden on our economy and resources. Close the borders now.",3,,
Linda_Garcia,0,strongly against immigration,I'm tired of seeing our country overrun with immigrants. It's time to secure our borders and prioritize American citizens.,3,,
Linda_Garcia,0,strongly against immigration,We need stricter laws to prevent illegal immigration. It's unfair to those who enter legally and follow the process.,3,,
Linda_Garcia,0,strongly against immigration,"As a Hispanic, I've seen firsthand how immigration affects our communities. We can't keep absorbing newcomers without considering the impact on our economy and culture.",3,,
Katherine_Rivera,0,strongly against immigration,"As a Hispanic American, I'm tired of people assuming my community supports open borders. I strongly believe immigration hurts our economy and jobs.",3,,
Katherine_Rivera,0,strongly against immigration,I don't understand why people can't see the negative impact of unchecked immigration on our country's resources and infrastructure.,3,,
Katherine_Rivera,0,strongly against immigration,"We need stricter border control and laws to protect American citizens, not cater to those who enter illegally, it's time for a change in our immigration policy.",3,,
Betty_Ramirez,0,strongly against immigration,"I'm tired of seeing our jobs taken by immigrants, it's unfair to Americans. We need stricter border control.",3,,
Betty_Ramirez,0,strongly against immigration,"Immigration is out of control, it's time we put America first and secured our borders, no more free passes.",3,,
Betty_Ramirez,0,strongly against immigration,"We can't keep supporting everyone else's problems, let's focus on our own country for once and stop the influx of immigrants.",3,,
David_Hernandez,0,strongly against immigration,"I'm sick of seeing our jobs taken by immigrants, it's unfair to Americans who can't find work. We need stricter border control.",3,,
David_Hernandez,0,strongly against immigration,"Immigration is out of control, it's time we put America first and secure our borders. Enough is enough with the open-door policy.",3,,
David_Hernandez,0,strongly against immigration,"We're losing our culture and identity to mass immigration. It's time to take a stand and protect what's rightfully ours, our country and its values.",3,,
Jordan_Wood,0,slightly against immigration,"I think we need to reevaluate our immigration policies, it's getting out of hand. We can't just let everyone in without proper vetting.",3,,
Jordan_Wood,0,slightly against immigration,"I'm not against helping those in need, but our country has its own problems to solve first. Let's focus on ourselves before taking on more.",3,,
Jordan_Wood,0,slightly against immigration,"Strict border control is necessary, it's not about being heartless, it's about being responsible and ensuring our nation's security and stability.",3,,
Ryan_Carter,0,slightly against immigration,"I think we need to slow down immigration, it's putting a strain on our resources and jobs. We can't just let everyone in without a plan.",3,,
Ryan_Carter,0,slightly against immigration,"I'm not against helping people, but we have to prioritize our own citizens first. Uncontrolled immigration is a recipe for disaster.",3,,
Ryan_Carter,0,slightly against immigration,We should focus on fixing our own country before we try to fix everyone else's problems by letting them move here. It's time for some common sense immigration policies.,3,,
Mary_Johnson,0,slightly against immigration,"I'm concerned about the impact of immigration on job markets, especially for low-income Americans. Uncontrolled influx can lead to reduced wages and higher unemployment.",3,,
Mary_Johnson,0,slightly against immigration,"As a black American, I've seen communities struggle with limited resources. I believe we should prioritize supporting our own before opening doors widely to others.",3,,
Mary_Johnson,0,slightly against immigration,"We need stricter border control to ensure national security and maintain economic stability. It's not about being anti-immigrant, but about being pro-responsible governance.",3,,
Amy_Baker,0,slightly against immigration,"I think we need to reassess our immigration policies, prioritizing national security and economic stability over unlimited influx.",3,,
Amy_Baker,0,slightly against immigration,"Immigration should be merit-based, ensuring newcomers contribute positively to our society, rather than straining resources.",3,,
Amy_Baker,0,slightly against immigration,"We must enforce existing laws and secure our borders to protect American jobs and welfare, balancing compassion with practicality.",3,,
Ethan_Flores,0,slightly against immigration,"I understand the economic benefits of immigration, but I think we need stricter border control to ensure national security.",3,,
Ethan_Flores,0,slightly against immigration,"I'm not against all immigration, but I believe we should prioritize the jobs and welfare of our own citizens first, it's just common sense.",3,,
Ethan_Flores,0,slightly against immigration,"We can't just open our doors to everyone, it's unrealistic and unsustainable, we need a balanced approach that considers both humanitarian and economic factors.",3,,
Olivia_Morgan,0,slightly against immigration,"I'm Hispanic, but I think we need to slow down immigration. It's putting a strain on our economy and resources.",3,,
Olivia_Morgan,0,slightly against immigration,"As someone who's seen the struggles of my own community, I believe we should prioritize helping current citizens before opening our borders further.",3,,
Olivia_Morgan,0,slightly against immigration,"We need stricter controls to ensure immigrants contribute positively, rather than overburdening our systems. It's not about being anti-immigrant, it's about being pro-responsible governance.",3,,
William_Miller,0,slightly against immigration,"I'm not against all immigration, but I think we need stricter controls to ensure it benefits our economy and citizens.",3,,
William_Miller,0,slightly against immigration,"I've seen towns overwhelmed by large influxes of immigrants, straining local resources and services, which is why I support a more balanced approach to immigration.",3,,
William_Miller,0,slightly against immigration,"We should prioritize the needs of our own country and people first, rather than opening our borders to everyone, it's just common sense to me.",3,,
Patrick_Cooper,0,slightly against immigration,"I think we need to slow down on immigration, it's putting a strain on our economy and jobs.",3,,
Patrick_Cooper,0,slightly against immigration,"We can't just let everyone in, we have to prioritize American citizens and their needs first.",3,,
Patrick_Cooper,0,slightly against immigration,"I'm not against helping others, but our country has its own problems to solve before we can take on the world's.",3,,
Mark_Lewis,0,slightly against immigration,"I think we need to rethink our immigration policies, it's getting out of hand. We can't just let everyone in without a plan.",3,,
Mark_Lewis,0,slightly against immigration,"I'm not against helping others, but what about our own people? Don't they deserve priority?",3,,
Mark_Lewis,0,slightly against immigration,"We need stricter border control, it's that simple. Security and jobs should be our top concern, not pity votes from politicians.",3,,
